hop_category,timestamp,head_id,head_name,relation_id,relation_name,tail_id,true_entity_id,true_entity_name,predicted_entity_id,predicted_entity_name,rank,score,is_correct
1-hop,334,30,Malaysia,13,Express_intent_to_cooperate,18,18,Thailand,18,Thailand,1,-0.981126606464386,True
1-hop,334,77,Haider_Al-Abadi,0,Make_statement,8,8,Iraq,8,Iraq,1,-0.6681604981422424,True
1-hop,334,44,Court_Judge_(India),2,Make_an_appeal_or_request,3,3,Citizen_(India),3,Citizen_(India),1,-0.2174873650074005,True
1-hop,334,271,Alexis_Tsipras,0,Make_statement,131,131,Evangelos_Venizelos,72,Antonis_Samaras,2,-0.9174694418907166,False
1-hop,334,9,Government_(Nigeria),11,Use_conventional_military_force,28,28,Boko_Haram,2,Citizen_(Nigeria),3,-0.6868404150009155,False
1-hop,334,53,Hamas,8,Criticize_or_denounce,347,347,"Head_of_Government_(Palestinian_Territory,_Occupied)",287,"Government_(Palestinian_Territory,_Occupied)",7,-0.7305909991264343,False
1-hop,334,32,Police_(Kenya),2,Make_an_appeal_or_request,16,16,Citizen_(Kenya),16,Citizen_(Kenya),1,-0.44932571053504944,True
1-hop,334,33,Ashraf_Ghani_Ahmadzai,1,Consult,258,258,Jens_Stoltenberg,258,Jens_Stoltenberg,1,-1.2240009307861328,True
1-hop,334,864,Refugee_(Afghanistan),4,Make_a_visit,1,1,Iran,1,Iran,1,-0.016862263903021812,True
1-hop,334,551,Grand_National_Party,3,Express_intent_to_meet_or_negotiate,60,60,Citizen_(South_Korea),0,China,4,-0.5452411770820618,False
1-hop,334,145,Umar_al_Bashir,0,Make_statement,37,37,Sudan,145,Umar_al_Bashir,5,-2.6841888427734375,False
1-hop,334,127,Protester_(Egypt),31,"Protest_violently,_riot",64,64,Police_(Egypt),64,Police_(Egypt),1,-0.057811155915260315,True
1-hop,334,337,Student_(Hong_Kong),0,Make_statement,91,91,Protester_(Hong_Kong),91,Protester_(Hong_Kong),1,-0.7849729061126709,True
